epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.09915,1.19298,3.25099,0.34226,2.73048,1.20213,0.01083,0.92857,0.15103,0.09046,0.00833,0.71429,0.12754,0.06819,0.75261,4.22727,0.40701,2.69172,1.00568,0,0,0
2,4.28017,1.00811,3.4938,0.34635,2.81232,1.19267,0.01083,0.92857,0.15353,0.09269,0.00833,0.71429,0.11971,0.06091,0.75162,4.21148,0.40948,2.69264,1.00178,1.9802e-05,1.9802e-05,1.9802e-05
3,6.38358,1.00394,3.94345,0.43335,2.80376,1.15807,0.01083,0.92857,0.16156,0.10466,0.00833,0.71429,0.12472,0.06335,0.74699,4.18553,0.4117,2.69507,0.99595,3.9208e-05,3.9208e-05,3.9208e-05
4,8.41274,0.83603,1.60904,0.38789,2.94893,1.28228,0.01083,0.92857,0.1697,0.10552,0.00833,0.71429,0.13625,0.06424,0.72967,4.10425,0.4146,2.68609,0.99087,5.8218e-05,5.8218e-05,5.8218e-05
5,10.5579,0.78369,2.48936,0.31772,2.64461,1.21617,0.01083,0.92857,0.18849,0.12906,0.00917,0.78571,0.14922,0.06811,0.71911,4.15798,0.41645,2.68422,0.99684,7.6832e-05,7.6832e-05,7.6832e-05
6,12.6507,0.94101,3.20115,0.3036,2.77562,1.17083,0.01083,0.92857,0.1889,0.1347,0.00917,0.78571,0.14518,0.05707,0.74801,4.21976,0.41616,2.68517,1.00638,9.505e-05,9.505e-05,9.505e-05
7,14.7836,1.0285,2.92802,0.37055,2.81749,1.10187,0.01083,0.92857,0.20469,0.14485,0.00917,0.78571,0.15495,0.05985,0.7851,4.34626,0.40603,2.68792,1.03042,0.000112872,0.000112872,0.000112872
8,16.7628,0.90984,2.52374,0.38854,2.72749,1.16617,0.01083,0.92857,0.2253,0.15557,0.00917,0.78571,0.13458,0.04877,0.81417,4.61189,0.40583,2.70135,1.05125,0.000130298,0.000130298,0.000130298
9,18.6766,0.74821,2.19529,0.33301,2.51108,1.0713,0.01083,0.92857,0.23596,0.17013,0.0075,0.64286,0.14074,0.05275,0.81533,4.77528,0.39203,2.70197,1.06266,0.000147328,0.000147328,0.000147328
10,20.6412,0.91695,3.00068,0.44759,2.57942,1.07592,0.01083,0.92857,0.24667,0.17366,0.00583,0.5,0.15448,0.0504,0.90801,4.98189,0.39672,2.71544,1.10804,0.000163962,0.000163962,0.000163962
11,22.6592,0.98738,1.83909,0.34862,2.60793,1.08167,0.01083,0.92857,0.27631,0.19671,0.00667,0.57143,0.16517,0.04828,0.92791,5.1112,0.39546,2.76169,1.13431,0.0001802,0.0001802,0.0001802
12,24.5993,0.90057,2.46614,0.23519,2.61266,1.09956,0.01,0.85714,0.31453,0.22896,0.00667,0.57143,0.18084,0.05319,0.95733,5.2093,0.40663,2.78514,1.16247,0.000196042,0.000196042,0.000196042
13,26.5834,0.76068,2.778,0.27817,2.58627,1.02448,0.01083,0.92857,0.3301,0.22834,0.00667,0.57143,0.21995,0.06004,1.01304,5.35853,0.41441,2.78392,1.20029,0.000211488,0.000211488,0.000211488
14,28.6703,0.61219,1.64803,0.24949,2.23737,0.91893,0.01,0.85714,0.35228,0.23796,0.00833,0.71429,0.22383,0.07382,1.04193,5.35396,0.42009,2.8112,1.20614,0.000226538,0.000226538,0.000226538
15,30.6854,0.80883,2.44967,0.24158,2.23977,1.03652,0.01083,0.92857,0.37374,0.23188,0.00667,0.57143,0.18899,0.06727,1.07171,5.46835,0.4341,2.8157,1.22328,0.000241192,0.000241192,0.000241192
16,32.6654,1.13052,4.11141,0.38155,2.54905,1.46603,0.01083,0.92857,0.4046,0.23054,0.005,0.42857,0.19998,0.0686,1.0938,5.69872,0.45307,2.80788,1.23929,0.00025545,0.00025545,0.00025545
17,34.7882,0.90227,2.87762,0.26469,2.38529,1.30787,0.01,0.85714,0.44124,0.24282,0.005,0.42857,0.1817,0.06548,1.10415,5.79982,0.47251,2.81921,1.24322,0.000269312,0.000269312,0.000269312
18,36.7429,0.99926,4.86935,0.2653,2.41596,1.1351,0.01,0.85714,0.44124,0.24282,0.005,0.42857,0.1817,0.06548,1.10415,5.79982,0.47251,2.81921,1.24322,0.000282778,0.000282778,0.000282778
19,38.801,1.00818,3.27545,0.32202,2.31143,1.12741,0.01083,0.92857,0.49043,0.28935,0.00583,0.5,0.26367,0.07901,1.15044,5.96688,0.51068,2.82834,1.24879,0.000295848,0.000295848,0.000295848
20,40.8575,0.87179,2.37383,0.32812,2.00301,0.9429,0.01083,0.92857,0.49043,0.28935,0.00583,0.5,0.26367,0.07901,1.15044,5.96688,0.51068,2.82834,1.24879,0.000308522,0.000308522,0.000308522
21,42.8859,0.85824,2.97599,0.33933,2.50732,1.2207,0.01167,1,0.53678,0.32959,0.00583,0.5,0.33349,0.08434,1.18689,6.17955,0.54942,2.8388,1.27555,0.0003208,0.0003208,0.0003208
22,44.9476,0.91072,3.51696,0.41601,1.98401,1.01244,0.01167,1,0.53678,0.32959,0.00583,0.5,0.33349,0.08434,1.18689,6.17955,0.54942,2.8388,1.27555,0.000332682,0.000332682,0.000332682
23,47.0558,1.18182,3.09357,0.38838,2.37221,1.10947,0.01083,0.92857,0.57503,0.37841,0.005,0.42857,0.29887,0.06356,1.2099,6.44379,0.54706,2.79031,1.2826,0.000344168,0.000344168,0.000344168
24,49.1009,0.93265,1.96174,0.30103,1.928,0.98177,0.01083,0.92857,0.57503,0.37841,0.005,0.42857,0.29887,0.06356,1.2099,6.44379,0.54706,2.79031,1.2826,0.000355258,0.000355258,0.000355258
25,51.2296,0.97393,3.23935,0.32199,2.11687,1.05301,0.01,0.85714,0.54831,0.3765,0.00417,0.35714,0.10076,0.04634,1.20185,6.64276,0.55017,2.79403,1.31716,0.000365952,0.000365952,0.000365952
26,53.2711,0.91419,2.72458,0.30488,1.9024,1.04124,0.01,0.85714,0.54831,0.3765,0.00417,0.35714,0.10076,0.04634,1.20185,6.64276,0.55017,2.79403,1.31716,0.00037625,0.00037625,0.00037625
27,55.4765,0.75062,2.36209,0.29116,1.86333,0.9519,0.01,0.85714,0.49562,0.32607,0.005,0.42857,0.10586,0.049,1.26435,6.84528,0.54666,2.81338,1.37774,0.000386152,0.000386152,0.000386152
